Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,1862.500000,1900.000000,1850.000000,1862.500000,1348.910278,29869000
2013-01-03,1862.500000,1887.500000,1850.000000,1862.500000,1348.910278,50332000
2013-01-04,1900.000000,1912.500000,1862.500000,1900.000000,1376.069702,63766000
2013-01-07,1900.000000,1912.500000,1875.000000,1900.000000,1376.069702,77276000
2013-01-08,1937.500000,1937.500000,1900.000000,1937.500000,1403.228882,84958000
2013-01-09,1887.500000,1937.500000,1862.500000,1887.500000,1367.016724,71902000
2013-01-10,1850.000000,1887.500000,1837.500000,1850.000000,1339.857422,39546000
2013-01-11,1837.500000,1862.500000,1825.000000,1837.500000,1330.804321,58283000
2013-01-14,1862.500000,1875.000000,1837.500000,1862.500000,1348.910278,62659000
2013-01-15,1900.000000,1900.000000,1862.500000,1900.000000,1376.069702,30560000
2013-01-16,1875.000000,1900.000000,1850.000000,1875.000000,1357.963623,46516000
2013-01-17,1862.500000,1887.500000,1862.500000,1862.500000,1348.910278,37630000
2013-01-18,1925.000000,1937.500000,1875.000000,1925.000000,1394.175903,56629000
2013-01-21,1925.000000,1925.000000,1887.500000,1925.000000,1394.175903,23592000
2013-01-22,1900.000000,1925.000000,1875.000000,1900.000000,1376.069702,25907000
2013-01-23,1925.000000,1925.000000,1900.000000,1925.000000,1394.175903,33427000
2013-01-25,1937.500000,1950.000000,1925.000000,1937.500000,1403.228882,74258000
2013-01-28,1937.500000,1937.500000,1912.500000,1937.500000,1403.228882,13247000
2013-01-29,1937.500000,1950.000000,1925.000000,1937.500000,1403.228882,45243000
2013-01-30,1950.000000,1950.000000,1925.000000,1950.000000,1412.282104,49680000
2013-01-31,1962.500000,1962.500000,1937.500000,1962.500000,1421.335205,60662000
2013-02-01,2125.000000,2162.500000,1975.000000,2125.000000,1539.025391,328660000
2013-02-04,2112.500000,2137.500000,2050.000000,2112.500000,1529.972168,83977000
2013-02-05,2100.000000,2100.000000,2075.000000,2100.000000,1520.919189,27242000
2013-02-06,2100.000000,2112.500000,2087.500000,2100.000000,1520.919189,46795000
2013-02-07,2137.500000,2150.000000,2087.500000,2137.500000,1548.078369,88054000
2013-02-08,2125.000000,2150.000000,2112.500000,2125.000000,1539.025391,63612000
2013-02-11,2125.000000,2137.500000,2100.000000,2125.000000,1539.025391,34477000
2013-02-12,2125.000000,2137.500000,2112.500000,2125.000000,1539.025391,26174000
2013-02-13,2162.500000,2187.500000,2125.000000,2162.500000,1566.184448,62794000
2013-02-14,2187.500000,2200.000000,2162.500000,2187.500000,1584.290894,58489000
2013-02-15,2200.000000,2200.000000,2175.000000,2200.000000,1593.343872,34182000
2013-02-18,2162.500000,2200.000000,2162.500000,2162.500000,1566.184448,14511000
2013-02-19,2125.000000,2162.500000,2100.000000,2125.000000,1539.025391,59792000
2013-02-20,2125.000000,2150.000000,2112.500000,2125.000000,1539.025391,25492000
2013-02-21,2162.500000,2187.500000,2137.500000,2162.500000,1566.184448,90453000
2013-02-22,2187.500000,2200.000000,2162.500000,2187.500000,1584.290894,70300000
2013-02-25,2187.500000,2200.000000,2162.500000,2187.500000,1584.290894,57511000
2013-02-26,2200.000000,2212.500000,2175.000000,2200.000000,1593.343872,39342000
2013-02-27,2187.500000,2200.000000,2162.500000,2187.500000,1584.290894,68156000
2013-02-28,2300.000000,2312.500000,2200.000000,2300.000000,1665.768921,98747000
2013-03-01,2425.000000,2425.000000,2300.000000,2425.000000,1756.299683,124613000
2013-03-04,2425.000000,2425.000000,2425.000000,2425.000000,1756.299683,0
2013-03-05,2362.500000,2387.500000,2350.000000,2362.500000,1711.034302,33809000
2013-03-06,2375.000000,2400.000000,2350.000000,2375.000000,1720.087158,71702000
2013-03-07,2400.000000,2400.000000,2362.500000,2400.000000,1738.193115,29142000
2013-03-08,2387.500000,2437.500000,2362.500000,2387.500000,1729.140381,35034000
2013-03-11,2412.500000,2425.000000,2387.500000,2412.500000,1747.246338,46838000
2013-03-13,2387.500000,2412.500000,2362.500000,2387.500000,1729.140381,55077000
2013-03-14,2375.000000,2375.000000,2325.000000,2337.500000,1692.928101,61015000
2013-03-15,2337.500000,2337.500000,2300.000000,2337.500000,1692.928101,73067000
2013-03-18,2325.000000,2362.500000,2312.500000,2350.000000,1701.980835,54395000
2013-03-19,2350.000000,2400.000000,2350.000000,2400.000000,1738.193115,40189000
2013-03-20,2400.000000,2425.000000,2375.000000,2412.500000,1747.246338,90458000
2013-03-21,2412.500000,2425.000000,2362.500000,2387.500000,1729.140381,42262000
2013-03-22,2412.500000,2412.500000,2237.500000,2262.500000,1638.609253,55800000
2013-03-25,2300.000000,2337.500000,2300.000000,2325.000000,1683.874634,34271000
2013-03-26,2337.500000,2412.500000,2325.000000,2412.500000,1747.246338,51000000
2013-03-27,2412.500000,2550.000000,2412.500000,2500.000000,1810.618042,82247000
2013-03-28,2500.000000,2525.000000,2487.500000,2525.000000,1828.724609,37076000
2013-04-01,2525.000000,2575.000000,2500.000000,2525.000000,1828.724609,54000000
2013-04-02,2500.000000,2550.000000,2450.000000,2462.500000,1783.458740,22454000
2013-04-03,2475.000000,2487.500000,2425.000000,2475.000000,1792.511841,40758000
2013-04-04,2475.000000,2487.500000,2425.000000,2425.000000,1756.299683,46648000
2013-04-05,2450.000000,2525.000000,2437.500000,2525.000000,1828.724609,90694000
2013-04-08,2500.000000,2525.000000,2475.000000,2475.000000,1792.511841,41960000
2013-04-09,2500.000000,2500.000000,2437.500000,2462.500000,1783.458740,66000000
2013-04-10,2475.000000,2487.500000,2437.500000,2437.500000,1765.352905,27942000
2013-04-11,2450.000000,2500.000000,2450.000000,2487.500000,1801.564697,25288000
2013-04-12,2500.000000,2550.000000,2487.500000,2525.000000,1828.724609,44009000
2013-04-15,2487.500000,2525.000000,2475.000000,2487.500000,1801.564697,19227000
2013-04-16,2475.000000,2550.000000,2475.000000,2500.000000,1810.618042,46567000
2013-04-17,2500.000000,2625.000000,2500.000000,2625.000000,1901.148804,74579000
2013-04-18,2600.000000,2650.000000,2575.000000,2625.000000,1901.148804,46851000
2013-04-19,2650.000000,2675.000000,2625.000000,2650.000000,1919.255371,46285000
2013-04-22,2575.000000,2675.000000,2525.000000,2675.000000,1937.361450,47971000
2013-04-23,2675.000000,2675.000000,2675.000000,2675.000000,1937.361450,0
2013-04-24,2650.000000,2650.000000,2550.000000,2600.000000,1883.043213,64078000
2013-04-25,2550.000000,2650.000000,2550.000000,2625.000000,1901.148804,61194000
2013-04-26,2650.000000,2675.000000,2575.000000,2675.000000,1937.361450,67135000
2013-04-29,2625.000000,2650.000000,2600.000000,2650.000000,1960.798340,59535000
2013-04-30,2675.000000,2725.000000,2650.000000,2700.000000,1997.794312,56152000
2013-05-01,2700.000000,2800.000000,2675.000000,2775.000000,2053.288818,42529000
2013-05-02,2775.000000,2775.000000,2675.000000,2675.000000,1979.296509,44885000
2013-05-03,2725.000000,2725.000000,2600.000000,2650.000000,1960.798340,43604000
2013-05-06,2650.000000,2675.000000,2600.000000,2650.000000,1960.798340,35178000
2013-05-07,2675.000000,2725.000000,2650.000000,2700.000000,1997.794312,54373000
2013-05-08,2725.000000,2750.000000,2650.000000,2675.000000,1979.296509,42606000
2013-05-10,2700.000000,2725.000000,2675.000000,2700.000000,1997.794312,64678000
2013-05-13,2725.000000,2725.000000,2575.000000,2625.000000,1942.300293,52479000
2013-05-14,2575.000000,2750.000000,2575.000000,2750.000000,2034.790405,66419000
2013-05-15,2750.000000,2750.000000,2650.000000,2700.000000,1997.794312,30629000
2013-05-16,2725.000000,2725.000000,2675.000000,2700.000000,1997.794312,31663000
2013-05-17,2700.000000,2700.000000,2650.000000,2650.000000,1960.798340,13857000
2013-05-20,2675.000000,2725.000000,2650.000000,2700.000000,1997.794312,59331000
2013-05-21,2725.000000,2725.000000,2650.000000,2700.000000,1997.794312,48286000
2013-05-22,2675.000000,2750.000000,2675.000000,2725.000000,2016.292358,27874000
2013-05-23,2700.000000,2700.000000,2575.000000,2625.000000,1942.300293,87758000
2013-05-24,2600.000000,2625.000000,2550.000000,2550.000000,1886.805664,58108000
